Firstname;Lastname;Title;Department
Flemming; Kruse;IT-Chef;IT Afdeling
Helle; Jørgensen;Netværkstekniker;IT Afdeling
Anders; Jensen;Netværkstekniker;IT Afdeling
Knud; Passer ;Udvikler;IT Afdeling
Niels; Toft;Udvikler;IT Afdeling
Henry; Eriksen;Udvikler;IT Afdeling
Andreas; Klausen;IT-Supporter;IT Afdeling
Tove; Nilsson;IT-Supporter;IT Afdeling
Christoffer; Nørgaard;IT-Supporter;IT Afdeling
Ingeborg; Bertelsen;IT-Supporter;IT Afdeling
Sebastian; Schack ;IT-Supporter;IT Afdeling
Lone; Friis;IT-Supporter;IT Afdeling
Katrine; Krog;IT-Supporter;IT Afdeling
Magnus; Bjerre;IT-Supporter;IT Afdeling
Kurt; Ballin;IT-Supporter;IT Afdeling
Kurt; Kirkegaard;IT-Supporter;IT Afdeling
Otto; Strandberg;IT-Supporter;IT Afdeling
Peder; Bjerre;IT-Supporter;IT Afdeling
Egon; Christensen;IT-Supporter;IT Afdeling
Jørgen; Frische;IT-Supporter;IT Afdeling
Caroline; Jessen;IT-Supporter;IT Afdeling
Gorm; Lauritzen;IT-Supporter;IT Afdeling
Sebastian;Davidsen;Administrations Konsulent;Staben
Leif;Carlsen;Administrations Konsulent;Staben
Clara;Falk;Administrations Konsulent;Staben
Ingrid;Justesen;Administrations Konsulent;Staben
Grethe;Kjærgård;Administrations Konsulent;Staben
Line;Rasmussen;Administrations Konsulent;Staben
Josefine;Bertelsen;Administrations Konsulent;Staben
Mary;Topsøe;Administrations Konsulent;Staben
Marianne;Jepsen;Administrations Konsulent;Staben
Jakob;Danielsen;Administrations Konsulent;Staben
Marianne;Berthelsen;Administrations Konsulent;Staben
Ingeborg;Hemmingsen;Administrations Konsulent;Staben
Flemming;Eskildsen;Administrations Konsulent;Staben
Åge;Pedersen;Administrations Konsulent;Staben
Ole;Dam;Administrations Konsulent;Staben
Karina;Bundgård;Administrations Konsulent;Staben
Aage;Steen;Administrations Konsulent;Staben
